Lead Number,Prospect ID,Lead Origin,Lead Source,Do Not Email,Do Not Call,Converted,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Country,Specialization,What is your current occupation,What matters most to you in choosing a course,Search,Magazine,Newspaper Article,X Education Forums,Newspaper,Digital Advertisement,Through Recommendations,Receive More Updates About Our Courses,Tags,Lead Quality,Update me on Supply Chain Content,Get updates on DM Content,City,I agree to pay the amount through cheque,A free copy of Mastering The Interview,Last Notable Activity
660562,8bf76a52-2478-476b-8618-1688e07874ad,API,Organic Search,No,No,1,11.0,1538,11.0,Email Opened,India,Marketing Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Mumbai,No,No,Modified
660558,88867067-3750-4753-8d33-1c7d1db53b5e,Landing Page Submission,Organic Search,No,No,0,5.0,170,5.0,Email Opened,India,Business Administration,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Thane & Outskirts,No,Yes,Email Opened
660553,a8531c22-fcf1-48f8-a711-fb5abf98ad87,Landing Page Submission,Direct Traffic,Yes,No,0,1.0,481,1.0,Email Bounced,Russia,Business Administration,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,Mumbai,No,No,Email Bounced
660547,25f4ac14-ff4b-4cd2-9c61-b44c85e19c8f,API,Organic Search,No,No,1,6.0,1012,6.0,Email Opened,India,Others,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Mumbai,No,No,Email Opened
660540,3abb7c77-1634-4083-9a9f-861068220611,API,Olark Chat,No,No,0,0.0,0,0.0,Olark Chat Conversation,India,Others,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,Mumbai,No,No,Modified
660534,e5c3beca-a0b6-4b3f-8c01-0919fb9ca3f2,API,Referral Sites,No,No,0,6.0,973,6.0,Email Link Clicked,India,Others,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Might be,No,No,Mumbai,No,No,Modified
660522,82cb5fb0-2d97-4a39-a630-ab5fe2e7f18c,Landing Page Submission,Google,No,No,1,6.0,1688,3.0,Page Visited on Website,India,Marketing Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,Mumbai,No,No,Page Visited on Website
660509,4512c16a-e96a-4459-b9ec-c7d8fe8c4880,API,Organic Search,No,No,0,3.0,98,3.0,Page Visited on Website,India,Others,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Worst,No,No,Mumbai,No,No,Modified
660479,c4419c99-b002-408b-a6fd-fa100716592c,Landing Page Submission,Google,No,No,0,1.0,233,1.0,Unreachable,India,Media and Advertising,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Not Sure,No,No,Mumbai,No,No,Modified
660478,fd71ab5b-53b8-4105-9960-efedc44962fa,API,Google,No,No,0,4.0,377,1.33,Page Visited on Website,India,Others,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,In confusion whether part time or DLP,Worst,No,No,Mumbai,No,No,Modified
660471,8fd38b83-5c32-4277-bcfb-499f34a01c56,Landing Page Submission,Google,No,No,1,1.0,1013,1.0,Converted to Lead,India,"Banking, Investment And Insurance",Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Mumbai,No,No,Modified
660461,ecbc6e69-29a9-44bf-804a-13079ef301bc,Landing Page Submission,Google,No,No,0,4.0,771,4.0,Email Link Clicked,India,Finance Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Mumbai,No,No,Email Link Clicked
660458,ecd117ca-375f-49ea-afd6-b52b84d00c69,API,Google,No,No,1,6.0,1137,1.5,Email Opened,India,Marketing Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Mumbai,No,Yes,Email Opened
660447,31c326f0-4a9b-43a6-9006-99d3830fbcae,Landing Page Submission,Google,No,No,1,3.0,1068,3.0,Form Submitted on Website,India,Travel and Tourism,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Busy,Not Sure,No,No,Mumbai,No,No,Modified
660432,c494aca4-8c8e-4081-9784-41eb6346015e,Landing Page Submission,Organic Search,No,No,1,4.0,1000,2.0,Email Opened,India,Finance Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Other Cities,No,Yes,Email Opened
660424,6d143c0e-abae-425f-a2c0-52c2946cbd45,Landing Page Submission,Google,No,No,1,6.0,1315,6.0,Email Opened,India,Media and Advertising,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Mumbai,No,No,Email Opened
660423,8247051c-f838-4a41-b39c-1f0b44c3d5e6,Landing Page Submission,Direct Traffic,No,No,0,5.0,182,5.0,Email Opened,India,Others,Student,Better Career Prospects,No,No,No,No,No,No,No,No,switched off,Not Sure,No,No,Mumbai,No,No,Email Opened
660410,b3455e2e-8236-478a-b1aa-666ad3381722,API,Google,No,No,1,3.0,78,3.0,Unreachable,India,International Business,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Mumbai,No,No,Unreachable
660402,da8c5ce5-52b5-4a4e-bf75-e533d2aca52c,Landing Page Submission,Direct Traffic,No,No,1,7.0,1174,3.5,Email Opened,India,Human Resource Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Mumbai,No,Yes,Email Opened
660374,d2055a36-b268-43a0-beeb-9a715f6a660d,API,Google,No,No,0,3.0,88,1.5,Email Opened,India,Others,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Not Sure,No,No,Mumbai,No,No,Modified
660361,c7d82991-3477-40ca-a616-db2d09228a55,API,Referral Sites,No,No,0,4.0,223,2.0,Page Visited on Website,India,Others,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Low in Relevance,No,No,Mumbai,No,No,Modified
660339,5af0914a-fa65-48e1-b11e-b44849206dc3,API,Organic Search,No,No,0,3.0,74,1.5,Email Opened,India,Others,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,Mumbai,No,No,Modified
660333,bc19e116-132c-4e00-a3fa-caa1ddda2f4e,Landing Page Submission,Organic Search,No,No,1,4.0,16,2.0,Page Visited on Website,India,E-COMMERCE,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Mumbai,No,Yes,Modified
660321,30422ea1-36fe-465e-9e68-41ee190fefb3,API,Referral Sites,No,No,1,3.0,98,3.0,Email Opened,India,Human Resource Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Thane & Outskirts,No,No,Modified
660312,a8ecfc52-9988-498a-9a21-df747891b847,Landing Page Submission,Google,No,No,0,4.0,1622,4.0,Unreachable,India,Operations Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Might be,No,No,Mumbai,No,No,Modified
660267,e60a54bc-0816-430e-a99a-019a8b5a27e5,Landing Page Submission,Google,No,No,1,5.0,563,5.0,Email Opened,India,Finance Management,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Mumbai,No,No,Email Opened
660255,e50b7515-b5a5-4691-a450-5e28ba99b472,API,Google,No,No,0,2.0,310,2.0,Email Link Clicked,India,Others,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Mumbai,No,No,Email Link Clicked
660236,d6686032-c65e-4495-a0f4-ba7471209356,Landing Page Submission,Google,No,No,1,4.0,25,4.0,Email Opened,India,Operations Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Other Cities of Maharashtra,No,No,Email Opened
660235,daebea93-20bd-48be-b89b-85c7711ca0d7,API,Direct Traffic,No,No,0,3.0,342,3.0,Email Opened,India,Others,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Busy,Not Sure,No,No,Mumbai,No,No,Email Opened
660222,3ec75559-60f8-46f0-9198-bd3d05c464aa,Landing Page Submission,Organic Search,Yes,No,0,7.0,38,7.0,Unsubscribed,India,Retail Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Busy,Not Sure,No,No,Mumbai,No,Yes,Unsubscribed
660215,d262e52a-b8e1-4164-b869-bb199ddf75a9,API,Google,No,No,0,5.0,199,5.0,Email Opened,India,Others,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Mumbai,No,No,Email Opened
660203,abc432ac-7393-4312-b49f-c43702397416,Landing Page Submission,Google,No,No,0,5.0,222,5.0,Email Opened,India,Finance Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,Mumbai,No,No,Email Opened
660194,85195b85-b384-4745-8e50-719566f70f52,Landing Page Submission,Direct Traffic,No,No,0,6.0,275,3.0,Email Opened,India,Operations Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,in touch with EINS,Not Sure,No,No,Mumbai,No,Yes,Email Opened
660180,fd31b6df-f961-43ba-8e81-618ce5aabfe5,Landing Page Submission,Google,No,No,0,4.0,287,2.0,Email Opened,India,Marketing Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Might be,No,No,Mumbai,No,No,Email Opened
660174,18633077-5162-4cc6-8728-bc25f7a32fd1,Landing Page Submission,Direct Traffic,No,No,0,2.0,547,2.0,Email Opened,India,Finance Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Already a student,High in Relevance,No,No,Mumbai,No,Yes,Email Opened
660153,3f04fd93-2884-45f6-a4fc-f3b6f234554b,API,Olark Chat,No,No,0,0.0,0,0.0,Olark Chat Conversation,India,Others,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,Mumbai,No,No,Modified
660149,86681269-67b1-4909-90c0-216136535815,API,Google,No,No,0,6.0,1225,6.0,Page Visited on Website,India,Supply Chain Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Diploma holder (Not Eligible),Worst,No,No,Thane & Outskirts,No,No,Modified
660128,319325b3-50b3-45d0-b730-c9df0b30b9ea,API,Olark Chat,No,No,0,0.0,0,0.0,Olark Chat Conversation,India,Others,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,Mumbai,No,No,Modified
660087,2def8175-7a88-405a-a932-669cacf60230,API,Olark Chat,No,No,1,0.0,0,0.0,Email Opened,India,Others,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Thane & Outskirts,No,No,Modified
660070,1f13cede-ebf7-4e65-84ee-7d76e86a9094,Landing Page Submission,Google,No,No,0,5.0,160,5.0,Email Opened,India,Business Administration,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Already a student,Not Sure,No,No,Mumbai,No,No,Email Opened
660069,8597dacd-0b33-4b4f-ad9e-a9df020afd48,Landing Page Submission,Organic Search,No,No,0,6.0,394,2.0,Unreachable,India,E-COMMERCE,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Might be,No,No,Mumbai,No,Yes,Modified
660050,833153b1-e44b-4260-a4cc-5ef310cc548c,API,Google,No,No,0,6.0,286,1.5,Olark Chat Conversation,India,Others,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,Mumbai,No,No,Modified
660048,b9984279-2d76-41e0-a5f3-e14d6ff68f20,API,Organic Search,No,No,0,7.0,96,2.33,Email Opened,India,Others,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,Mumbai,No,No,Email Opened
660030,165a8ed0-7155-4b32-bb21-b356c51e0412,API,Organic Search,No,No,0,2.0,12,2.0,Email Opened,India,Others,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,switched off,Not Sure,No,No,Mumbai,No,No,Email Opened
659998,59e722da-edff-43d9-af61-f5c8bcc986c4,Landing Page Submission,Referral Sites,No,No,1,13.0,436,13.0,Form Submitted on Website,India,IT Projects Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Busy,Low in Relevance,No,No,Other Metro Cities,No,No,Modified
659963,171defdc-6c7b-4486-9a3b-527de447d2d5,API,Referral Sites,No,No,1,8.0,903,8.0,Page Visited on Website,India,Finance Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Other Cities of Maharashtra,No,No,Page Visited on Website
659942,d93bfdc0-4719-4f0a-ad6b-31070823dfbb,Landing Page Submission,Organic Search,No,No,0,17.0,409,8.5,Email Opened,India,Human Resource Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Not Sure,No,No,Mumbai,No,Yes,Modified
659937,d22bfe40-a444-4e97-b6b7-ccf40117710b,Landing Page Submission,Referral Sites,No,No,0,11.0,685,5.5,Email Opened,India,Services Excellence,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Graduation in progress,Not Sure,No,No,Thane & Outskirts,No,Yes,Email Opened
659931,b90b70b9-5e60-41a5-87da-5eb753fc3391,API,Google,No,No,0,4.0,213,4.0,Form Submitted on Website,India,International Business,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Not Sure,No,No,Mumbai,No,No,Modified
659925,aa613715-ff22-429d-9fbb-92da56b827aa,API,Olark Chat,No,No,0,0.0,0,0.0,Email Opened,India,Others,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Mumbai,No,No,Email Opened
659918,0327a12a-51cb-4782-a029-cc824e614833,API,Organic Search,No,No,1,7.0,1468,3.5,Page Visited on Website,India,Marketing Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Mumbai,No,No,Modified
659896,dba70a60-f322-4372-b7d5-3d24026a4750,API,Olark Chat,No,No,0,0.0,0,0.0,Email Link Clicked,India,Others,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,Mumbai,No,No,Modified
659889,3ee81e25-e280-428d-94a8-af0178917bf5,Landing Page Submission,Direct Traffic,No,No,1,4.0,1435,4.0,Email Opened,India,Operations Management,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Other Cities,No,Yes,Email Opened
659875,a66b2a39-2f12-4eb4-b6e3-065d88ccf980,Landing Page Submission,Google,No,No,1,1.0,157,1.0,Converted to Lead,India,Hospitality Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Other Cities of Maharashtra,No,No,Modified
659853,ee859f2e-a35f-4d2e-980e-8163da8ca667,API,Google,No,No,1,3.0,885,1.5,Had a Phone Conversation,India,Operations Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Mumbai,No,No,Had a Phone Conversation
659849,34571884-9e2f-404c-bc30-d5e09309b06a,API,Olark Chat,No,No,1,0.0,0,0.0,Email Opened,India,Others,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Other Cities of Maharashtra,No,No,Modified
659833,002233e4-c3d5-4a78-b64e-fa9b7fdef393,API,Olark Chat,No,No,0,0.0,0,0.0,View in browser link Clicked,India,Finance Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Low in Relevance,No,No,Mumbai,No,No,Modified
659830,991c2560-128d-4222-a4c6-5aa393c4fafa,API,Olark Chat,No,No,0,0.0,0,0.0,Olark Chat Conversation,India,Others,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Mumbai,No,No,Modified
659819,671f2615-8210-4792-abdd-a1588060cd27,Landing Page Submission,Direct Traffic,No,No,0,1.0,1710,1.0,Converted to Lead,India,Retail Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Already a student,Worst,No,No,Thane & Outskirts,No,Yes,Modified
659820,ac430bc0-d235-4f54-9c2b-3d1b7e52849e,Landing Page Submission,Direct Traffic,No,No,0,4.0,219,4.0,Email Opened,India,Business Administration,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Mumbai,No,No,Email Opened
659806,fe6dff62-8217-428b-876a-ec931f251f63,Landing Page Submission,Referral Sites,Yes,No,0,3.0,111,3.0,Email Bounced,India,International Business,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Other Metro Cities,No,Yes,Modified
659784,f8497fef-9593-4bb7-898c-9f736a3b67f8,API,Organic Search,No,No,0,6.0,224,6.0,Page Visited on Website,India,Others,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,switched off,Not Sure,No,No,Mumbai,No,No,Modified
659782,2cd9ea36-23d7-49c3-b255-a9361a4fa81b,Landing Page Submission,Direct Traffic,No,No,0,5.0,224,1.67,Page Visited on Website,India,Operations Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,Other Cities of Maharashtra,No,Yes,Page Visited on Website
659779,0a943ad9-f3d5-46d7-aca0-3fdab53da0e7,Landing Page Submission,Direct Traffic,No,No,1,2.0,1071,2.0,Email Opened,India,Marketing Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Lost to EINS,Not Sure,No,No,Other Cities of Maharashtra,No,Yes,Email Opened
659727,a739f33a-7d4d-4c4e-9c9c-3c30e1f48940,Landing Page Submission,Google,No,No,1,6.0,595,3.0,Email Opened,India,"Banking, Investment And Insurance",Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Mumbai,No,No,Email Opened
659720,1f9032cd-77f4-453c-b84b-edd1aea26b70,API,Referral Sites,No,No,0,4.0,520,4.0,Email Opened,India,Operations Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,in touch with EINS,Not Sure,No,No,Mumbai,No,No,Email Opened
659708,d4d4ee0a-fea2-4680-b2ea-b24de9fcf0be,API,Google,No,No,0,2.0,393,2.0,Email Opened,India,Others,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Mumbai,No,No,Email Opened
659704,a9b219c8-a9c2-4d13-9a4d-46cfe4f70eeb,API,Olark Chat,No,No,1,0.0,0,0.0,Email Link Clicked,India,Operations Management,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Mumbai,No,No,Email Link Clicked
659700,09526992-b1fb-4763-8cca-355bc5dac5e3,API,Olark Chat,No,No,0,0.0,0,0.0,Olark Chat Conversation,India,Others,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,Mumbai,No,No,Modified
659696,ecbf9b02-90a1-4b16-b330-6d958dcfcdb2,Landing Page Submission,Google,No,No,1,3.0,1136,3.0,Page Visited on Website,India,IT Projects Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Mumbai,No,No,Modified
659685,0ab2ba94-a0f8-4f6b-adb9-6dd94d301b6e,API,Referral Sites,No,No,0,3.0,335,3.0,Email Opened,India,Others,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Mumbai,No,No,Modified
659676,523131a0-5e9d-4f8e-9ca7-ea9e964e5788,API,Referral Sites,No,No,0,4.0,75,4.0,Email Opened,India,Others,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Mumbai,No,No,Email Opened
659644,0fc49a08-63d2-4fef-98c1-244bfd6d12a9,Landing Page Submission,Direct Traffic,No,No,0,6.0,97,3.0,Email Opened,Kuwait,Supply Chain Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,Mumbai,No,Yes,Email Opened
659630,db6bd360-ffc9-453d-b109-b4f0cfa6749c,Landing Page Submission,Organic Search,No,No,0,2.0,1085,2.0,Converted to Lead,India,Rural and Agribusiness,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Not Sure,No,No,Other Cities of Maharashtra,No,Yes,Modified
659614,3f42389c-2201-4890-ae77-4958ae8982ad,API,Organic Search,No,No,0,3.0,214,3.0,Page Visited on Website,India,Others,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Not Sure,No,No,Mumbai,No,No,Modified
659607,e126d601-facc-4e75-b0fa-eea89ecfdea9,API,Olark Chat,No,No,1,6.0,1158,1.5,Email Opened,India,Business Administration,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,Other Cities,No,Yes,Email Opened
659600,72064169-4b55-4279-a9b9-340872379f12,Landing Page Submission,Google,No,No,0,4.0,101,4.0,Email Opened,India,Finance Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,Mumbai,No,No,Email Opened
659582,40e72a2f-b7bb-4a10-9c2c-45d9bedb0dde,Landing Page Submission,Google,No,No,0,9.0,838,4.5,Email Opened,India,Healthcare Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,Mumbai,No,No,Email Opened
659567,076801dc-eba3-4c64-b165-dda70397aa19,Landing Page Submission,Direct Traffic,No,No,0,3.0,536,3.0,Unreachable,India,Finance Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,number not provided,Not Sure,No,No,Mumbai,No,Yes,Modified
659562,62b4ee1c-1071-42bb-b50d-16412c2acce2,Landing Page Submission,Direct Traffic,No,No,0,4.0,161,2.0,Unreachable,India,Marketing Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Busy,Not Sure,No,No,Mumbai,No,No,Unreachable
659555,7f0c404f-3b2d-4d0e-b5e6-cc5bb0bab65d,Landing Page Submission,Google,No,No,0,2.0,511,2.0,Form Submitted on Website,India,Healthcare Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Diploma holder (Not Eligible),Not Sure,No,No,Mumbai,No,No,Modified
659545,477c8243-bd09-48f5-a170-a5aa9001ab12,API,Olark Chat,No,No,0,0.0,0,0.0,Olark Chat Conversation,India,Others,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,opp hangup,Not Sure,No,No,Mumbai,No,No,Modified
659523,bc35eede-4208-461c-827e-11108a378df7,API,Google,No,No,1,5.0,1110,5.0,Olark Chat Conversation,India,Human Resource Management,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Mumbai,No,No,Modified
659507,35d515d8-e851-4629-803e-492c6b576bd6,Landing Page Submission,Direct Traffic,No,No,1,5.0,1563,5.0,Email Opened,India,Finance Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Mumbai,No,Yes,Email Opened
659492,a3f6393c-fcdf-4cb4-8d29-6da3d62ae88f,API,Referral Sites,No,No,0,7.0,1633,3.5,Converted to Lead,India,Others,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Mumbai,No,No,Modified
